"edu","prevearn","n"
8,43909.0909090909,0
8,44545.4545454545,0
8,45181.8181818182,0
8,45818.1818181818,0
8,46454.5454545455,0
8,47090.9090909091,0
8,47727.2727272727,0
8,48363.6363636364,0
8,49000,0
8,49636.3636363636,0
8,50272.7272727273,0
8,50909.0909090909,0
8,51545.4545454545,0
8,52181.8181818182,0
8,52818.1818181818,0
8,53454.5454545455,0
8,54090.9090909091,0
8,54727.2727272727,0
8,55363.6363636364,0
8,56000,0
8,56636.3636363636,0
8,57272.7272727273,0
8,57909.0909090909,0
8,58545.4545454545,0
8,59181.8181818182,0
8,59818.1818181818,0
8,60454.5454545455,0
8,61090.9090909091,0
8,61727.2727272727,0
8,62363.6363636364,0
8,63000,0
9,0,271
9,636.363636363636,51
9,1272.72727272727,45
9,1909.09090909091,36
9,2545.45454545455,32
9,3181.81818181818,32
9,3818.18181818182,20
9,4454.54545454545,13
9,5090.90909090909,31
9,5727.27272727273,28
9,6363.63636363636,4
9,7000,8
9,7636.36363636364,6
9,8272.72727272727,14
9,8909.09090909091,10
9,9545.45454545455,5
9,10181.8181818182,8
9,10818.1818181818,4
9,11454.5454545455,4
9,12090.9090909091,6
9,12727.2727272727,3
9,13363.6363636364,1
9,14000,2
9,14636.3636363636,1
9,15272.7272727273,0
9,15909.0909090909,2
9,16545.4545454545,0
9,17181.8181818182,1
9,17818.1818181818,1
9,18454.5454545455,1
9,19090.9090909091,1
9,19727.2727272727,1
9,20363.6363636364,0
9,21000,0
9,21636.3636363636,0
9,22272.7272727273,0
9,22909.0909090909,0
9,23545.4545454545,0
9,24181.8181818182,0
9,24818.1818181818,0
9,25454.5454545455,0
9,26090.9090909091,0
9,26727.2727272727,0
9,27363.6363636364,0
9,28000,0
9,28636.3636363636,0
9,29272.7272727273,0
9,29909.0909090909,0
9,30545.4545454545,0
9,31181.8181818182,0
9,31818.1818181818,0
9,32454.5454545455,0
9,33090.9090909091,0
9,33727.2727272727,0
9,34363.6363636364,0
9,35000,0
9,35636.3636363636,0
9,36272.7272727273,0
